,51 B off,,,,,51 B on,,,,,51 Z off,,,,,51 Z on,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
1300,0,0,21,1,0,0,0,17,1,1,0,0,17,1,1,0,0,24,1,1
1305,0,0,21,1,0,0,0,17,1,0,0,0,17,1,0,0,0,24,1,0
1310,0,0,20,1,0,0,0,16,1,0,0,0,16,1,0,0,0,23,1,0
1315,0,0,21,1,0,0,0,17,1,0,0,0,17,1,0,0,0,24,1,0
1320,0,0,21,1,0,0,0,17,1,0,0,0,17,1,0,0,0,24,1,0
1325,0,0,22,1,0,0,0,18,1,0,0,0,17,1,0,0,0,24,1,0
1330,0,0,22,1,0,0,0,18,1,0,0,0,17,1,0,0,0,24,1,0
1335,0,0,23,1,0,0,0,18,1,0,0,0,18,1,0,0,0,25,1,0
1340,0,0,23,1,0,0,0,19,1,0,0,0,18,1,0,0,0,26,1,0
1345,0,0,22,1,0,0,0,18,1,0,0,0,18,1,0,0,0,25,1,0
1350,0,0,21,1,0,0,0,17,1,0,0,0,17,1,0,0,0,24,1,0
1355,0,0,20,1,0,0,0,16,1,0,0,0,16,1,0,0,0,22,1,0
1360,0,0,19,1,0,0,0,15,1,0,0,0,15,1,0,0,0,21,1,0
1365,0,0,18,1,0,0,0,15,1,0,0,0,15,1,0,0,0,21,1,0
1370,0,0,17,1,0,0,0,14,1,0,0,0,14,1,0,0,0,19,1,0
1375,0,0,16,1,0,0,0,13,1,0,0,0,13,1,0,0,0,18,1,0
1380,0,0,16,1,0,0,0,13,1,0,0,0,13,1,0,0,0,18,1,0
1385,0,0,16,1,0,0,0,13,1,0,0,0,13,1,0,0,0,18,1,0
1390,0,0,18,1,0,0,0,15,1,0,0,0,14,1,0,0,0,20,1,0
1395,0,0,19,1,0,0,0,15,1,0,0,0,15,1,0,0,0,21,1,0
1400,0,0,19,1,0,0,0,15,1,0,0,0,15,1,0,0,0,21,1,0
1405,0,0,17,1,0,0,0,14,1,0,0,0,14,1,0,0,0,19,1,0
1410,0,0,14,1,0,0,0,12,1,0,0,0,11,1,0,0,0,16,1,0
1415,0,0,12,1,0,0,0,10,1,0,0,0,10,1,0,0,0,14,1,0
1420,0,0,11,1,0,0,0,9,1,0,0,0,9,1,0,0,0,12,1,0
1425,0,0,10,1,0,0,0,8,1,0,0,0,8,1,0,0,0,11,1,0
1430,0,0,9,1,0,0,0,8,1,0,0,0,7,1,0,0,0,10,1,0
1435,0,0,9,1,0,0,0,7,1,0,0,0,7,1,0,0,0,10,1,0
