,50 B off 1,,,,,50 B off 2,,,,,50 B on 1,,,,,50 B on 2,,,,,50 Z off,,,,,50 Z on 1,,,,,50 Z on 2,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
510,0,1,40,6,5,0,1,26,4,7,0,0,2,0,0,0,1,24,3,5,0,1,26,4,7,0,1,25,3,7,0,1,43,6,6
515,0,1,39,5,5,0,1,26,3,7,0,0,2,0,0,0,1,23,3,6,0,1,26,3,7,0,1,25,3,8,0,1,43,6,6
520,0,1,40,5,5,0,1,26,3,7,0,0,2,0,0,0,1,24,3,5,0,1,26,3,7,0,1,25,3,7,0,1,43,6,6
525,0,1,40,5,4,0,1,26,3,6,0,0,2,0,0,0,1,24,3,5,0,1,26,3,6,0,1,25,3,7,0,1,43,6,5
530,0,1,41,5,4,0,1,27,3,6,0,0,2,0,0,0,1,24,3,5,0,1,27,3,6,0,1,26,3,7,0,1,44,5,5
535,0,1,35,5,5,0,0,23,3,8,0,0,2,0,0,0,0,21,3,6,0,0,23,3,7,0,0,22,3,8,0,1,38,5,6
540,0,1,35,5,5,0,1,22,3,8,0,0,2,0,0,0,1,20,3,6,0,1,22,3,7,0,1,22,3,8,0,1,37,5,6
545,0,1,36,5,5,0,0,23,3,7,0,0,2,0,0,0,0,21,3,5,0,0,23,3,7,0,0,22,3,7,0,1,39,5,6
550,0,1,35,5,5,0,1,22,3,8,0,0,2,0,0,0,1,20,3,6,0,1,22,3,8,0,1,22,3,9,0,1,37,5,7
555,0,1,36,5,5,0,1,23,3,8,0,0,2,0,0,0,1,21,3,6,0,1,23,3,7,0,1,22,3,8,0,1,39,6,6
560,0,1,37,5,5,0,1,24,3,7,0,0,2,0,0,0,1,22,3,6,0,1,24,3,7,0,1,23,3,8,0,1,40,5,6
565,0,1,35,5,5,0,1,23,3,7,0,0,2,0,0,0,1,21,3,6,0,1,23,3,7,0,1,22,3,8,0,1,38,5,6
570,0,1,34,5,5,0,1,22,3,8,0,0,2,0,0,0,1,20,3,6,0,1,22,3,7,0,1,21,3,8,0,1,37,6,6
575,0,1,37,6,5,0,1,24,4,7,0,0,2,0,0,0,1,22,3,5,0,1,24,4,7,0,1,23,3,7,0,1,40,6,6
580,0,1,37,5,6,0,0,24,3,8,0,0,2,0,0,0,0,22,3,7,0,0,24,3,8,0,0,23,3,9,0,1,40,6,7
585,0,1,37,6,4,0,1,24,4,6,0,0,2,0,0,0,1,22,3,5,0,1,24,4,6,0,1,23,4,7,0,2,40,6,5
590,0,1,38,5,5,0,1,25,3,8,0,0,2,0,0,0,1,22,3,6,0,1,25,3,7,0,1,24,3,8,0,1,41,6,6
595,0,1,37,6,5,0,1,24,4,8,0,0,2,0,0,0,1,22,3,6,0,1,24,4,7,0,1,23,3,8,0,2,40,6,6
600,0,1,36,6,6,0,1,23,4,9,0,0,2,0,0,0,1,21,3,7,0,1,23,4,9,0,1,22,4,10,0,1,39,6,7
605,0,1,37,6,6,0,1,24,4,9,0,0,2,0,0,0,1,22,3,7,0,1,24,4,9,0,1,23,4,10,0,1,40,6,7
610,0,1,35,5,6,0,1,23,3,9,0,0,2,0,0,0,1,21,3,7,0,1,23,3,9,0,1,22,3,10,0,1,38,5,7
615,0,1,37,6,5,0,1,24,4,8,0,0,2,0,0,0,1,22,3,6,0,1,24,4,8,0,1,23,3,9,0,1,40,6,7
620,0,1,38,5,6,0,1,25,3,8,0,0,2,0,0,0,1,22,3,7,0,1,25,3,8,0,1,24,3,9,0,1,41,6,7
