,49 B off,,,,,49 B on,,,,,49 Z off,,,,,49 Z on,,,,,,,,,,,,,,,,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,,,,,,,,,,,,,,,
620,0,0,33,5,5,0,0,42,7,8,0,0,43,7,8,0,0,33,5,5,,,,,,,,,,,,,,,
625,0,0,32,5,5,0,0,42,6,7,0,0,43,7,7,0,0,32,5,5,,,,,,,,,,,,,,,
630,0,0,33,5,5,0,0,42,7,7,0,0,43,7,7,0,0,33,5,5,,,,,,,,,,,,,,,
635,0,0,34,5,5,0,0,44,7,7,0,0,44,7,7,0,0,34,5,5,,,,,,,,,,,,,,,
640,0,0,34,5,5,0,0,44,6,8,0,0,45,7,8,0,0,34,5,5,,,,,,,,,,,,,,,
645,0,0,33,5,5,0,0,43,7,8,0,0,43,7,8,0,0,33,5,5,,,,,,,,,,,,,,,
650,0,0,33,5,5,0,0,42,6,8,0,0,43,7,8,0,0,33,5,5,,,,,,,,,,,,,,,
655,0,0,32,5,5,0,0,41,6,8,0,0,42,6,8,0,0,32,5,5,,,,,,,,,,,,,,,
660,0,0,31,5,5,0,0,41,6,7,0,0,41,6,7,0,0,31,5,4,,,,,,,,,,,,,,,
665,0,0,33,5,5,0,0,43,7,7,0,0,43,7,7,0,0,33,5,5,,,,,,,,,,,,,,,
670,0,0,34,5,5,0,0,44,7,7,0,0,45,7,7,0,0,34,5,5,,,,,,,,,,,,,,,
675,0,0,34,5,5,0,0,44,7,7,0,0,45,7,7,0,0,34,5,4,,,,,,,,,,,,,,,
680,0,0,34,5,5,0,0,45,7,7,0,0,45,7,7,0,0,34,5,4,,,,,,,,,,,,,,,
685,0,0,34,5,5,0,0,44,6,7,0,0,44,6,7,0,0,34,5,4,,,,,,,,,,,,,,,
690,0,0,34,5,5,0,0,44,6,7,0,0,44,7,7,0,0,34,5,5,,,,,,,,,,,,,,,
695,0,0,35,5,4,0,0,46,6,7,0,0,47,6,6,0,0,35,5,4,,,,,,,,,,,,,,,
700,0,0,36,5,4,0,0,46,6,7,0,0,47,7,6,0,0,36,5,4,,,,,,,,,,,,,,,
705,0,0,35,5,4,0,0,46,7,7,0,0,46,7,6,0,0,35,5,4,,,,,,,,,,,,,,,
710,0,0,36,5,4,0,0,46,6,7,0,0,47,7,6,0,0,36,5,4,,,,,,,,,,,,,,,
715,0,0,35,5,4,0,0,46,6,7,0,0,46,7,6,0,0,35,5,4,,,,,,,,,,,,,,,
720,0,0,37,5,4,0,0,48,6,6,0,0,49,6,6,0,0,37,5,4,,,,,,,,,,,,,,,
725,0,0,41,5,4,0,0,53,6,5,0,0,54,6,5,0,0,41,5,3,,,,,,,,,,,,,,,
730,0,1,40,4,3,0,1,52,6,5,0,1,53,6,5,0,1,40,4,3,,,,,,,,,,,,,,,
735,0,0,38,4,3,0,0,49,5,5,0,0,50,5,5,0,0,38,4,3,,,,,,,,,,,,,,,
740,0,0,36,4,4,0,0,47,5,5,0,0,47,5,5,0,0,36,4,3,,,,,,,,,,,,,,,
745,0,0,34,4,3,0,0,45,5,5,0,0,45,5,5,0,0,34,4,3,,,,,,,,,,,,,,,
750,0,0,33,4,3,0,0,43,5,4,0,0,44,5,4,0,0,33,4,3,,,,,,,,,,,,,,,
755,0,0,34,4,3,0,0,44,5,4,0,0,45,6,4,0,0,34,4,3,,,,,,,,,,,,,,,
760,0,0,35,4,3,0,0,46,6,5,0,0,46,6,5,0,0,35,4,3,,,,,,,,,,,,,,,
765,0,0,35,4,3,0,0,46,5,5,0,0,47,6,5,0,0,35,4,3,,,,,,,,,,,,,,,
770,0,1,36,5,3,0,1,47,6,5,0,1,47,6,5,0,1,36,5,3,,,,,,,,,,,,,,,
775,0,0,36,5,4,0,0,47,6,6,0,0,47,6,5,0,0,36,5,4,,,,,,,,,,,,,,,
780,0,0,36,5,4,0,0,47,6,6,0,0,48,7,5,0,0,37,5,4,,,,,,,,,,,,,,,
785,0,0,39,5,4,0,0,50,7,7,0,0,51,7,6,0,0,39,5,4,,,,,,,,,,,,,,,
790,0,1,41,6,5,0,1,53,7,7,0,1,54,7,7,0,1,41,6,5,,,,,,,,,,,,,,,
795,0,1,42,5,5,0,1,55,7,7,0,1,56,7,7,0,1,42,5,4,,,,,,,,,,,,,,,
800,0,1,43,6,5,0,1,56,7,7,0,1,56,7,7,0,1,43,6,4,,,,,,,,,,,,,,,
805,0,0,41,5,5,0,0,53,7,7,0,0,54,7,7,0,0,41,5,5,,,,,,,,,,,,,,,
810,0,1,40,5,5,0,1,51,7,7,0,1,52,7,7,0,1,40,5,5,,,,,,,,,,,,,,,
815,0,1,40,6,5,0,1,53,7,7,0,1,53,7,7,0,1,41,6,5,,,,,,,,,,,,,,,
820,0,1,42,5,5,0,1,54,7,8,0,1,55,7,8,0,1,42,5,5,,,,,,,,,,,,,,,
825,0,1,42,5,5,0,1,54,7,7,0,1,55,7,7,0,1,42,5,5,,,,,,,,,,,,,,,
830,0,1,40,5,5,0,1,52,7,8,0,1,53,7,8,0,1,40,5,5,,,,,,,,,,,,,,,
835,0,1,38,5,5,0,1,50,7,8,0,1,51,7,8,0,1,39,5,5,,,,,,,,,,,,,,,
840,0,1,38,5,5,0,1,50,7,8,0,1,51,7,8,0,1,39,5,5,,,,,,,,,,,,,,,
845,0,1,39,5,5,0,1,51,7,8,0,1,52,7,8,0,1,39,5,5,,,,,,,,,,,,,,,
850,0,1,40,5,6,0,1,52,7,8,0,1,53,7,8,0,1,40,5,5,,,,,,,,,,,,,,,
855,0,1,41,5,5,0,1,53,7,7,0,1,54,7,7,0,1,41,5,5,,,,,,,,,,,,,,,
860,0,1,42,5,5,0,1,55,7,8,0,1,55,7,8,0,1,42,5,5,,,,,,,,,,,,,,,
865,0,1,41,5,5,0,1,54,7,8,0,1,54,7,8,0,1,41,5,5,,,,,,,,,,,,,,,
870,0,1,41,5,5,0,1,54,7,8,0,1,54,7,8,0,1,41,5,5,,,,,,,,,,,,,,,
875,0,1,42,5,5,0,1,55,7,8,0,1,55,7,8,0,1,42,5,5,,,,,,,,,,,,,,,
880,0,1,42,5,5,0,1,55,7,8,0,1,56,7,8,0,1,42,5,5,,,,,,,,,,,,,,,
885,0,1,42,5,5,0,1,54,7,7,0,1,55,7,7,0,1,42,5,5,,,,,,,,,,,,,,,
890,0,1,42,5,5,0,1,54,7,7,0,1,55,7,7,0,1,42,5,5,,,,,,,,,,,,,,,
895,0,1,40,5,5,0,1,53,7,7,0,1,53,7,7,0,1,41,5,5,,,,,,,,,,,,,,,
900,0,1,41,6,5,0,1,53,7,7,0,1,54,7,7,0,1,41,6,5,,,,,,,,,,,,,,,
905,0,1,42,6,5,0,1,55,7,7,0,1,55,7,7,0,1,42,6,4,,,,,,,,,,,,,,,
910,0,1,43,6,5,0,1,56,8,7,0,1,57,8,7,0,1,43,6,5,,,,,,,,,,,,,,,
915,0,1,44,6,5,0,1,57,8,7,0,1,58,8,7,0,1,44,6,5,,,,,,,,,,,,,,,
920,0,1,45,6,5,0,1,59,8,7,0,1,60,8,7,0,1,45,6,4,,,,,,,,,,,,,,,
925,0,1,45,6,5,0,1,59,8,7,0,1,60,8,7,0,1,45,6,4,,,,,,,,,,,,,,,
930,0,1,46,6,5,0,1,60,8,7,0,1,60,8,7,0,1,46,6,4,,,,,,,,,,,,,,,
935,0,1,47,6,5,0,1,61,8,7,0,1,62,8,7,0,1,47,6,4,,,,,,,,,,,,,,,
940,0,1,48,6,5,0,1,63,8,7,0,1,64,8,7,0,1,48,6,4,,,,,,,,,,,,,,,
945,0,1,49,6,4,0,1,63,8,6,0,1,64,8,6,0,1,49,6,4,,,,,,,,,,,,,,,
950,0,1,49,7,4,0,1,64,9,6,0,1,65,9,6,0,1,49,7,4,,,,,,,,,,,,,,,
955,0,1,49,7,4,0,1,64,9,5,0,1,65,9,5,0,1,49,7,3,,,,,,,,,,,,,,,
960,0,1,49,7,4,0,1,64,9,5,0,1,65,9,5,0,1,49,7,3,,,,,,,,,,,,,,,
965,0,1,51,7,4,0,1,67,9,5,0,1,68,9,5,0,1,51,7,3,,,,,,,,,,,,,,,
970,0,1,54,7,3,0,1,70,9,5,0,1,71,10,5,0,1,54,7,3,,,,,,,,,,,,,,,
975,0,1,56,7,3,0,1,73,9,4,0,1,74,9,4,0,1,56,7,3,,,,,,,,,,,,,,,
980,0,1,57,7,3,0,1,74,9,5,0,1,75,9,5,0,1,57,7,3,,,,,,,,,,,,,,,
985,0,1,57,7,3,0,1,75,9,4,0,1,76,10,4,0,1,57,7,3,,,,,,,,,,,,,,,
990,0,1,57,7,2,0,1,74,9,3,0,1,75,9,3,0,1,57,7,2,,,,,,,,,,,,,,,
995,0,1,58,7,2,0,1,75,9,3,0,1,76,9,3,0,1,58,7,2,,,,,,,,,,,,,,,
1000,0,1,59,7,2,0,1,76,9,3,0,1,78,9,3,0,1,59,7,2,,,,,,,,,,,,,,,
1005,0,1,59,7,2,0,1,77,9,3,0,1,78,9,3,0,1,59,7,2,,,,,,,,,,,,,,,
1010,0,1,59,7,2,0,1,76,9,3,0,1,78,9,3,0,1,59,7,2,,,,,,,,,,,,,,,
1015,0,1,59,7,2,0,1,77,9,3,0,1,78,10,3,0,1,59,7,2,,,,,,,,,,,,,,,
1020,0,1,59,7,2,0,1,77,9,3,0,1,79,9,3,0,1,60,7,2,,,,,,,,,,,,,,,
1025,0,1,61,7,2,0,1,80,9,2,0,1,81,9,2,0,1,62,7,2,,,,,,,,,,,,,,,
1030,0,1,63,7,1,0,1,82,9,2,0,1,84,9,2,0,1,63,7,1,,,,,,,,,,,,,,,
